week,celebrity_name,estimated_fan_support
1,Cameron Mathison,0.08331945999893818
1,Jane Seymour,0.08331945999893818
1,Sabrina Bryan,0.08331945999893818
1,Jennie Garth,0.08331945999893818
1,Floyd Mayweather Jr. ,0.08694880941637768
1,Josie Maran,0.07929248125461237
1,Albert Reed,0.08331945999893818
1,Helio Castroneves,0.08331945999893818
1,Mel B,0.08331945999893818
1,Wayne Newton,0.08388356933856624
1,Marie Osmond,0.08331945999893818
1,Mark Cuban,0.08331945999893818
2,Cameron Mathison,0.08906844867464812
2,Jane Seymour,0.09282917714765172
2,Sabrina Bryan,0.09533929826283656
2,Jennie Garth,0.08906844867464812
2,Floyd Mayweather Jr. ,0.0880435319822405
2,Albert Reed,0.06669096146566567
2,Helio Castroneves,0.09408423770524416
2,Mel B,0.09282917714765172
2,Wayne Newton,0.10830956770879258
2,Marie Osmond,0.08906399547487441
2,Mark Cuban,0.09467315575574632
3,Cameron Mathison,0.09584597835042298
3,Jane Seymour,0.09866704294655686
3,Sabrina Bryan,0.1073625997375917
3,Jennie Garth,0.09582681226926798
3,Floyd Mayweather Jr. ,0.09821651020302812
3,Helio Castroneves,0.10777470061568423
3,Mel B,0.10138697396004817
3,Wayne Newton,0.09249909670351855
3,Marie Osmond,0.09990334558083423
3,Mark Cuban,0.10251693963304719
4,Cameron Mathison,0.10502173037415923
4,Jane Seymour,0.11267781571429002
4,Sabrina Bryan,0.11933933289932967
4,Jennie Garth,0.10912823460589273
4,Floyd Mayweather Jr. ,0.09372431539366269
4,Helio Castroneves,0.1155338492882766
4,Mel B,0.11476150829705543
4,Marie Osmond,0.11225119698345819
4,Mark Cuban,0.11756201644387551
5,Cameron Mathison,0.11937926404463635
5,Jane Seymour,0.12388061854924859
5,Sabrina Bryan,0.1346904569476329
5,Jennie Garth,0.1225528525586199
5,Helio Castroneves,0.1279244945820467
5,Mel B,0.12549093780722861
5,Marie Osmond,0.13439836829337903
5,Mark Cuban,0.1116830072172078
6,Cameron Mathison,0.14299848211163826
6,Jane Seymour,0.1602351046849883
6,Sabrina Bryan,0.11735029756215244
6,Jennie Garth,0.1384789246416102
6,Helio Castroneves,0.13917530468432784
6,Mel B,0.14740090586509863
6,Marie Osmond,0.15436098045018432
7,Cameron Mathison,0.1726547234255155
7,Jane Seymour,0.145642678402514
7,Jennie Garth,0.1665229129321396
7,Helio Castroneves,0.16997905563177695
7,Mel B,0.17466729944226422
7,Marie Osmond,0.1705333301657897
8,Cameron Mathison,0.17103905295297667
8,Jennie Garth,0.21114387400206505
8,Helio Castroneves,0.19831355760090041
8,Mel B,0.2044319521096855
8,Marie Osmond,0.21507156333437225
9,Jennie Garth,0.21737717444640067
9,Helio Castroneves,0.2546797036828012
9,Mel B,0.2557974973935002
9,Marie Osmond,0.2721456244772979
10,Helio Castroneves,0.3137017659626426
10,Mel B,0.30847582346774444
10,Marie Osmond,0.3778224105696129
